iteration,food_quantity,event_poll_ms,ants_advance_ms,mpi_pheromone_sync_ms,evaporation_ms,mpi_evaporation_sync_ms,update_ms,advance_total_ms,mpi_food_sync_ms,mpi_gather_ms,render_ms,blit_ms,iteration_total_ms
190,0,0.000000,22.399000,0.000000,0.000000,6.160000,0.000000,28.559000,0.000000,2.026000,0.000000,0.000000,30.585000
191,0,0.000000,20.807000,0.000000,6.656000,0.559000,1.534000,29.556000,0.000000,0.000000,0.000000,0.000000,29.556000
192,0,0.000000,24.124000,2.528000,0.000000,1.558000,0.530000,28.740000,0.000000,0.000000,0.000000,0.000000,28.740000
193,0,0.000000,26.016000,2.381000,0.000000,2.033000,0.000000,30.430000,0.000000,1.529000,0.000000,0.000000,31.959000
194,0,0.000000,22.878000,2.301000,0.315000,1.035000,1.013000,27.542000,0.000000,0.767000,0.000000,0.000000,28.309000
195,0,0.000000,22.225000,0.000000,0.000000,6.056000,0.421000,28.702000,0.000000,1.137000,0.000000,0.000000,29.839000
196,0,0.000000,25.170000,3.070000,0.000000,2.028000,1.036000,31.304000,0.000000,0.766000,0.000000,0.000000,32.070000
197,0,0.000000,27.832000,0.000000,0.000000,0.000000,4.445000,32.277000,0.000000,1.159000,0.000000,0.000000,33.436000
198,0,0.000000,27.094000,0.000000,0.000000,5.033000,1.039000,33.166000,0.000000,1.212000,0.000000,0.000000,34.378000
199,0,0.000000,27.638000,2.559000,0.000000,1.065000,1.101000,32.363000,0.000000,1.541000,0.000000,0.000000,33.904000
200,0,0.000000,26.393000,0.000000,0.000000,0.000000,4.685000,31.078000,0.000000,1.051000,0.000000,0.000000,32.129000
201,0,0.000000,27.988000,4.034000,0.523000,3.345000,1.034000,36.924000,0.000000,1.050000,0.000000,0.000000,37.974000
202,0,0.000000,38.321000,8.064000,1.082000,2.562000,0.592000,50.621000,0.000000,1.129000,0.000000,0.000000,51.750000
203,0,0.000000,41.475000,5.971000,0.000000,2.330000,1.026000,50.802000,0.000000,1.543000,0.000000,0.000000,52.345000
204,0,0.000000,41.165000,4.467000,0.000000,2.726000,0.000000,48.358000,0.000000,2.049000,0.000000,0.000000,50.407000
205,0,0.000000,42.123000,2.513000,0.000000,2.467000,0.515000,47.618000,0.000000,1.541000,0.000000,0.000000,49.159000
206,0,0.000000,38.163000,4.999000,0.000000,2.065000,1.016000,46.243000,0.000000,1.431000,0.000000,0.000000,47.674000
207,0,0.000000,33.802000,0.000000,0.000000,5.380000,0.000000,39.182000,0.000000,1.028000,0.000000,0.000000,40.210000
